ID,PR,USER,BUYER,PF,URGENT,Assignment Group,Company Code
PR918143,,MLopez160,RRomero36,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR918230,,VMotta,MDuarte6,,1,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR918323,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918432,,FCARCAMO,MMarchena,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR918439,,DMachado6,JGonzalez366,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918442,,DMachado6,JGonzalez366,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918458,,LFigueiredo5,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR918472,,FCARCAMO,MMarchena,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR918478,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918514,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918518,,LJuliao,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR918528,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918578,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918619,,LFigueiredo5,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR918631,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918730,,DSIMOES2,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR918750,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918770,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918793,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918806,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918823,,DMachado6,MMarchena,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR918836,,DMachado6,JGonzalez366,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR919014,,MSANTOS80,MMarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR919061,,BChino,MGaviria,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919119,,BChino,RRomero36,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919230,,VAburto,RRomero36,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919239,,VAburto,RRomero36,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919241,,VAburto,MGaviria,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919245,,VAburto,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919265,,LLEAL7,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919343,,LUSCANGA,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919351,,LUSCANGA,MGaviria,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR919354,,LUSCANGA,MGaviria,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
