ID,PR,USER,BUYER,PF,URGENT,Assignment Group,Company Code
PR979067,,VAmaral,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR979733,,MLopez160,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR980560,,TJESUS,JGonzalez366,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR980732,,BMARQUES,MDuarte6,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980733,,TJESUS,JGonzalez366,,0,CAMERON LAM,PNP_BR10 (Cameron Tecnologia de Con)
PR980750,,BMARQUES,JGonzalez366,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980756,,BMARQUES,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980763,,BMARQUES,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980789,,VMELLO4,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980791,,BMARQUES,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980803,,BMARQUES,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980808,,BMARQUES,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980824,,BMARQUES,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980832,,VAmaral,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980853,,VAmaral,RRomero36,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980868,,VAmaral,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980938,,ISantos24,mmarchena,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980940,,VAmaral,JGonzalez366,,0,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR980954,,VMotta,MDuarte6,,1,CAMERON LAM,PNP_BR11 (OneSubsea do Brasil Servi)
PR981046,,LUSCANGA,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
PR981066,,LUSCANGA,MDuarte6,,0,CAMERON LAM,PNP_MX10 (Cameron de Mexico)
