ID,PR,USER,BUYER,PF,URGENT,Assignment Group,Company Code
PR968891,,CVidrine2,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972199,,JArdoin3,CChaparro4,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972273,,JBROUSSARD12,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972452,,JJONES75,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972488,,JJONES75,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972502,,JKramer5,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972585,,BReagan,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972597,,BReagan,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972615,,BReagan,TBecerra,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972621,,KMartinez13,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972634,,GMORENO20,ALopez108,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972636,,KMartinez13,TBecerra,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972642,,BReagan,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972643,,JArdoin3,ALopez108,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972652,,WSACKMANN,ALopez108,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972669,,WSACKMANN,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972677,,GMORENO20,CChaparro4,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972699,,GMORENO20,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972702,,WSACKMANN,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972712,,WSACKMANN,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972728,,WSACKMANN,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972734,,GMORENO20,TBecerra,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972750,,WSACKMANN,CChaparro4,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972768,,WSACKMANN,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972780,,WSACKMANN,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972792,,JArdoin3,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972795,,WSACKMANN,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR972803,,WSACKMANN,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
