ID,PR,USER,BUYER,PF,URGENT,Assignment Group,Company Code
PR762313,nan,TBenham,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766094,nan,MPENA15,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766185,nan,TMACHADO4,NMartinez31,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766216,nan,TBenham,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766278,nan,KHodges,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766320,nan,KMartinez13,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766435,nan,WSACKMANN,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766448,nan,RAHRENS2,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766456,nan,WSACKMANN,NMartinez31,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766470,nan,WSACKMANN,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766480,nan,WSACKMANN,NMartinez31,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766492,nan,WSACKMANN,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766516,nan,TBenham,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766526,nan,WSACKMANN,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766534,nan,WSACKMANN,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766545,nan,WSACKMANN,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766554,nan,WSACKMANN,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766563,nan,WSACKMANN,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766575,nan,TBenham,NMartinez31,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766596,nan,LKiehm,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766655,nan,JBENNETT16,JSalgado43,,0,CAMERON NAM,PNP_CA10 (Schlumberger Canada LTD)
PR766682,nan,KHodges,SCepeda2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766706,nan,KHodges,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766732,nan,KHodges,KNarvaez2,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766768,nan,KHodges,sperez40,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766830,nan,KHodges,NMartinez31,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766842,nan,KHodges,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR766890,nan,KMartinez13,JSalgado43,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
PR767018,nan,NSCOTT4,AVasquez24,,0,CAMERON NAM,PNP_CA22 (OneSubsea Canada ULC)
PR767046,nan,NSCOTT4,sperez40,,0,CAMERON NAM,PNP_CA22 (OneSubsea Canada ULC)
PR767107,nan,NSCOTT4,SCepeda2,,0,CAMERON NAM,PNP_CA22 (OneSubsea Canada ULC)
PR767255,nan,WShang1,AVasquez24,,0,CAMERON NAM,PNP_US10 (Cameron Intl Corp)
